Address,Date,Price
"103 ELM MOUNT RD, BEAUMONT, DUBLIN 9, D09 Y5T7
Elm Mount Road
Beaumont
Dublin
D09",25-Oct-24,"€ 540,000"
"15 DRUMDERG COURT, FAIRVIEW AVE UPPER, DUBLIN 3, D03 AF85
Drumderg Court
Fairview Avenue Upper
Dublin
D03",25-Oct-24,"€ 200,000"
"16 Tully Drive, Cherrywood, Dublin 18
Tully drive
Cherrywood
Dublin",25-Oct-24,"€ 575,000"
"162 BLOOMFIELD PARK, BLOOMFIELD AVE, DONNYBROOK, D04 NY89
Bloomfield Park
Bloomfield Avenue
Donnybrook
Dublin
D04",25-Oct-24,"€ 700,000"
"2 BELFRY GARDENS, CITYWEST, TALLAGHT DUBLIN 24, D24 F9Y7
Belfry Gardens
Citywest
Dublin
D24",25-Oct-24,"€ 335,000"
"25 Danehill, Phoenix Park Racecourse, Castleknock
Danehill
Phoenix Park Racecourse
Castleknock
Dublin",25-Oct-24,"€ 435,000"
"35 RAVEN HALL, SWORDS CENTRAL, MAIN ST, K67 XN40
Raven Hall
Swords Central
Main Street
Dublin
K67",25-Oct-24,"€ 237,500"
"38 THORNLEIGH, KILBUSH LANE, RUSH, K56 XW50
Thornleigh
Kilbush Lane
Rush
Dublin
K56",25-Oct-24,"€ 438,000"
"4 SHACKLETON HEATH, SHACKLETON PARK, LUCAN, K78 Y7N0
Shackleton Heath
Shackleton Park
Lucan
Dublin
K78",25-Oct-24,"€ 530,000"
"45 KILMARTIN AVE, FETTERCAIRN, TALLAGHT DUBLIN 24, D24 WK5A
Kilmartin Avenue
Fettercairn
Dublin
D24",25-Oct-24,"€ 270,000"
"54 MILLBROOK AVE, RAHENY, DUBLIN 13, D13 K7F9
Millbrook Avenue
Raheny
Dublin
D13",25-Oct-24,"€ 362,000"
"7 RINGFORT CRESCENT, BALROTHERY, BALBRIGGAN, K32 F971
Ringfort Crescent
Balrothery
Balbriggan
Dublin
K32",25-Oct-24,"€ 92,000"
"7A ST VINCENT ST WEST, INCHICORE, DUBLIN 8, D08 C3F9
Street Vincent Street West
Inchicore
Dublin
D08",25-Oct-24,"€ 360,000"
"8 OAKVIEW COURT, HARTSTOWN, CLONSILLA DUBLIN 15, D15 WNP3
Oakview Court
Hartstown
Dublin
D15",25-Oct-24,"€ 339,000"
"86 HIGH GROVE, MOUNT TALBOT, RED COW DUBLIN 22, D22 PY24
High Grove
Mount Talbot
Dublin
D22",25-Oct-24,"€ 298,000"
"APARTMENT 12, 32 COOK STREET, DUBLIN 8, D08 C938
Cook Street
Dublin
D08",25-Oct-24,"€ 322,500"
"1 CHURCHWELL MEWS, BELMAYNE, MALAHIDE RD, D13 KW18
Churchwell Mews
Belmayne
Malahide Road
Dublin
D13",24-Oct-24,"€ 480,000"
"1 Parkleigh Downs, Seven Mills, Clonburris
Parkleigh Downs
Seven Mills
Clonburris
Dublin",24-Oct-24,"€ 510,000"
"102D, BOWBRIDGE PLACE, KILMAINHAM DUBLIN 8, D08 C564
Bowbridge Place
Dublin
D08",24-Oct-24,"€ 245,000"
"13 OSPREY LAWN, TEMPLEOGUE, DUBLIN, D6W PW63
Osprey Lawn
Templeogue
Dublin
D6W",24-Oct-24,"€ 565,000"
"14 FOXFIELD ROAD, RAHENY, DUBLIN 5, D05 P447
Foxfield Road
Raheny
Dublin
D05",24-Oct-24,"€ 675,000"
"16 LEIX RD, CABRA, DUBLIN CITY, D07 CT96
Leix Road
Cabra
Dublin
D07",24-Oct-24,"€ 365,000"
"166 KEEPER RD, DRIMNAGH, DUBLIN 12, D12 TN96
Keeper Road
Drimnagh
Dublin
D12",24-Oct-24,"€ 435,000"
"18 PEMBROKE LANE, PEMBROKE ST LOWER, DUBLIN 2, D02 AF44
Pembroke Lane
Pembroke Street Lower
Dublin
D02",24-Oct-24,"€ 615,000"
"19 INGLENOOK WOOD, GLENAMUCK ROAD, CARRICKMINES, D18 DV2Y
Inglenook Wood
Glenamuck Road
Carrickmines
Dublin
D18",24-Oct-24,"€ 900,000"
"2 COMPASS COURT SOUTH, ROYAL CANAL AVE, ROYAL CANAL PARK DUBLIN 15, D15 K093
Compass Court South
Royal Canal Avenue
Dublin
D15",24-Oct-24,"€ 375,000"
"2 SOUTH CIRCULAR ROAD, DUBLIN 8, D08 DR60
South Circular Road
Dublin
D08",24-Oct-24,"€ 775,000"
"200 CHARLEMONT, GRIFFITH AVE, DUBLIN 9, D09 R6P5
Charlemont
Griffith Avenue
Dublin
D09",24-Oct-24,"€ 575,000"
"24 SEAGRAVE WAY, MEAKSTOWN, DUBLIN 11, D11 C525
Seagrave Way
Meakstown
Dublin
D11",24-Oct-24,"€ 227,000"
"25 LOWER MAIN ST, RUSH, DUBLIN, K56 V306
Lower Main Street
Rush
Dublin
K56",24-Oct-24,"€ 335,000"
"26 WAINSFORT MANOR CRESCENT, TERENURE, DUBLIN 6W, D6W NC52
Wainsfort Manor Crescent
Terenure
Dublin
D6W",24-Oct-24,"€ 724,000"
"28 Tully Drive, Cherrywood, Dublin 18
Tully Drive
Cherrywood
Dublin",24-Oct-24,"€ 554,703"
"33 LEINSTER SQ, RATHMINES, DUBLIN 6, D06 A6P4
Leinster Square
Rathmines
Dublin
D06",24-Oct-24,"€ 1,280,000"
"4 BLOYKE, HARBOUR RD, DALKEY, A96 YP46
Bloyke
Harbour Road
Dalkey
Dublin
A96",24-Oct-24,"€ 1,180,000"
"41 BALLYNAKELLY GREEN, NEWCASTLE, DUBLIN, D22 K257
Ballynakelly Green
Newcastle
Dublin
D22",24-Oct-24,"€ 410,000"
"61 HEYTESBURY ST, SOUTH CIRCULAR RD, DUBLIN 8, D08 X3K1
Heytesbury Street
South Circular Road
Dublin
D08",24-Oct-24,"€ 750,000"
"64 PARK CRESCENT HOUSE, BLACKHORSE AVE, DUBLIN 7, D07 F243
Park Crescent House
Blackhorse Avenue
Dublin
D07",24-Oct-24,"€ 315,000"
"8 Parkleigh Way, Seven Mills, Clonburris
Parkleigh Way
Seven Mills
Clonburris
Dublin",24-Oct-24,"€ 454,999"
"8 TENTERFIELDS, SOUTH BROWN ST, DUBLIN 8, D08 YCN5
Tenterfields
South Brown Street
Dublin
D08",24-Oct-24,"€ 551,000"
"9 CARLTON COURT, ST LAWRENCE RD, CLONTARF DUBLIN 3, D03 P044
Carlton Court
Street Lawrence Road
Dublin
D03",24-Oct-24,"€ 335,000"
"9 DRUMNIGH WOOD, PORTMARNOCK, DUBLIN 13, D13 F972
Drumnigh Wood
Portmarnock
Dublin
D13",24-Oct-24,"€ 1,450,000"
"9 KELLYS BAY RISE, SKERRIES, DUBLIN, K34 D112
Kellys Bay Rise
Skerries
Dublin
K34",24-Oct-24,"€ 375,000"
"APT.57 - BERESFORD HOUSE, CUSTOM HOUSE SQUARE, IFSC, D01 K858
. Beresford House
Custom House Square
Ifsc
Dublin
D01",24-Oct-24,"€ 630,000"
"CLIFTON HOUSE, COLIEMORE RD, DALKEY, A96 X921
Clifton House
Coliemore Road
Dalkey
Dublin
A96",24-Oct-24,"€ 3,682,407"
"1-36 Tully Lodge, Cherrywood, DUBLIN 18
Tully Lodge
Cherrywood
Dublin",23-Oct-24,"€ 12,000,000"
"102 CASTLETIMON RD, COOLOCK, DUBLIN CITY, D05 K095
Castletimon Road
Coolock
Dublin
D05",23-Oct-24,"€ 385,000"
"11 Woodbrook Way, Woodbrook, Shankill
Woodbrook Way
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 469,986"
"16 Parkleigh Way, Seven Mills, Clonburris
Parkleigh Way
seven Mills
Clonburris
Dublin",23-Oct-24,"€ 450,000"
"18 Woodbrook Park, Woodbrook, Shankill
Woodbrook Park
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 340,000"
"2-20 (Even) Woodbrook Way, Woodbrook, Shankill
(even) Woodbrook Way
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 4,625,910"
"20 Kylemore Wood, Kyle, Killney
Kylemore Wood
Kyle
Killney
Dublin",23-Oct-24,"€ 895,000"
"20 Woodbrook Park, Woodbrook, Shankill
Woodbrook Park
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 340,000"
"21 LARKFIELD PARK, DUBLIN 6W, DUBLIN, D6W C856
Larkfield Park
Dublin
D6W",23-Oct-24,"€ 866,000"
"22 Tully Drive, Cherrywood, Dublin 18
Tully Drive
Cherrywood
Dublin",23-Oct-24,"€ 495,000"
"22 Woodbrook Park, Woodbrook, Shankill
Woodbrook Park
Woodbrook
Shankill
Dublin",23-Oct-24,"€ 340,000"
"24 COOLRUA DR, BEAUMONT, DUBLIN 9, D09 CP70
Coolrua Drive
Beaumont
Dublin
D09",23-Oct-24,"€ 676,000"
