type,title,reference,status,description,date_lodged,date_signed,eiar,nis,parties,Latitude,Longitude
LA Non Road Dev - Application,"Tymon North, Tallaght to Merchant's Quay, Dublin.",319571,Invalid- late S.127(1)(g),"Demolition of existing detached dwelling and construction of 4 dwellings, together with all associated site works.",23/04/2024,23/04/2023,No,No,"South Dublin County Council and Dublin City Council
								(Applicant); South Dublin County Council and Dublin City Council
								(Applicant)
															(Active); Mary Dunne",53.297384550000004,-6.344041863023355
LA Non Road Dev - Application,"Tymon North, Tallaght to Merchant's Quay, Dublin.",306725,Approve with Conditions,Flood alleviation works along and adjacent to the River Poddle extending from the upper reaches of the river.,21/02/2020,01/06/2023,Yes,Yes,"South Dublin County Council and Dublin City Council
								(Applicant); South Dublin County Council and Dublin City Council
								(Applicant)
															(Active); Mary Dunne",53.297384550000004,-6.344041863023355
Planning Appeal,"Known as Flanagans, Deerpark Road (backing onto Wilson Road), Mount Merrion, Co. Dublin  and, U...",310336,Grant Permissions with Conditions,"Permission for amendments to the following two permissions, (a) D15A/0121: Reallocation of car parking spaces, (b) ...",26/05/2021,04/01/2023,No,No,"Tomose Limited and Blue Whisp Limited
								(Applicant); Tomose Limited and Blue Whisp Limited
								(1st Party Appellant)
															(Active)",53.29628394273755,-6.218277605157889
Compulsory Acquisition Housing Act,Abbey Street Lower - Marlborough Street - Eden Quay - Old Abbey Street Area,310801,Objections withdrawn,Abbey Street Lower - Marlborough Street - Eden Quay - Old Abbey Street Area Compulsory Purchase (Abbey Theatre Rede...,08/07/2021,01/02/2023,No,No,"Dublin City Council
								(Applicant); Dublin City Council
								(Planning Authority)
															(Active)",,
Planning Appeal,"The Barn, Riversdale Avenue, Bushy Park Road, Dublin 6",311013,Grant permission with revised conditions,"Partial demolition and renovation of The Barn as house, construction of 5 terraced houses and construction of 2 sem...",04/08/2021,26/01/2023,No,No,"Insignia Investments Ltd
								(Applicant); Neville Russell
								(3rd Party Appellant)
															(Active); Julia Cullinan and Miriam Kent
								(3rd Party Appellant)
															(Invalid); Ashling Harrison and Bart Casella and others
								(3rd Party Appellant)
															(Active)",53.3067273667544,-6.2803943810935
Planning Appeal,"The Barn, Atmospheric Road, Dalkey, Co Dublin, A96TN90",311099,Refuse Permission,Demolition of a two-storey house and attached outbuildings. Permission for 22 apartments comprising;  Eighteen 2-be...,11/08/2021,05/05/2023,No,No,"Triple Rock Limited
								(Applicant); Triple Rock Limited
								(1st Party Appellant)
															(Active); John and Anna McCormick; Vincent and Marian Holden",53.2196354,-6.220220321836609
Planning Appeal,"149 Braemor Road, Churchtown, Dublin 14.",311106,Grant Permissions with Conditions,Housing development of 32 apartment units.,12/08/2021,09/02/2023,No,No,"LDB Developments LTD
								(Applicant); LDB Developments LTD
								(1st Party Appellant)
															(Active)",53.3027709348266,-6.268667944809023
Planning Appeal,"Car park adjacent to No.4, Herbert Place, and Herbert Lane, Dublin 2",311122,Refuse Permission,"Permission for 5 storey office development with terrace at top floor, two 2-bed apartments over 2 storeys with priv...",13/08/2021,12/04/2023,No,No,"Esprit Investments Limited
								(Applicant); Irish Georgian Society
								(3rd Party Appellant)
															(Active); Richard J McBratney
								(3rd Party Appellant)
															(Active); Mark Harty
								(3rd Party Appellant)
															(Active); Marion and Adrian Masterson
								(3rd Party Appellant)
															(Active); Louis Masterson
								(3rd Party Appellant)
															(Active); Patrick and Elizabeth Spollen
								(3rd Party Appellant)
															(Active); Clive Carroll
								(3rd Party Appellant)
															(Active)",53.3392076,-6.2216668
Planning Appeal,"Grange Hill, Harold's Grange Road, Rathfarnham, Dublin 16",311151,Grant Permissions with Conditions,Construction of 43 apartment/duplex units in 3 blocks.,17/08/2021,24/01/2023,No,No,"Deerfield Properties Limited
								(Applicant); Deerfield Properties Limited
								(1st Party Appellant)
															(Active)",53.267624049999995,-6.255231694249783
Planning Appeal,"Site of 0.13ha at 7-9 Clarence Street and George's Place, Dun Laoghaire, Co. Dublin",311210,Grant Permissions with Conditions,Demolition of existing building on site and the construction of 3-5 storey over basement apartment building contain...,24/08/2021,05/05/2023,No,No,"Kavco Limited
								(Applicant); Kavco Limited
								(1st Party Appellant)
															(Active); Ann Mulcrone
								(3rd Party Appellant)
															(Active); Anchorage Residents Association",,
Planning Appeal,"An Architectural Conservation Area, Oaktree Lodge, Westminister Road, Foxrock, Dublin 18",311215,Grant Permissions with Conditions,"The development consists of the provision of a new vehicular entrance 4m wide to Westminister Road, a dished footpa...",25/08/2021,23/01/2023,No,No,"Jeananne O'Brien and Barry McAuliffe
								(Applicant); Jeananne O'Brien and Barry McAuliffe
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"Robswall Cottage, Coast Road, Malahide, Co Dublin",311242,Grant permission with revised conditions,Demolition of unfinished structures and construction of a 2 storey dwelling and a 3 storey over lower ground floor ...,30/08/2021,28/03/2023,No,No,"Deanscastle Developments Ltd
								(Applicant); Kevin Flanigan
								(3rd Party Appellant)
															(Active); Andrew and Peter Smith
								(3rd Party Appellant)
															(Active)",53.40553155058428,-6.1337890052195565
Planning Appeal,"13-15, Rock Hill, Blackrock, Co. Dublin, A94V2NO",311260,Grant permission with revised conditions,Demolition of the existing two-storey building and the construction of a 3-7 storey mixed use building (8 no. 2-bed...,31/08/2021,18/05/2023,No,No,"Tribal Investments (Rockill) Ltd
								(Applicant); Deryn Mackay Grestel Limited T/A Khan
								(3rd Party Appellant)
															(Active); Tom Feeney Blackrock Village
								(3rd Party Appellant)
															(Invalid); Tom Feeney
								(3rd Party Appellant)
															(Invalid)",53.3022993,-6.1796767
Planning Appeal,"No. 5, Gasyard Lane, Malahide, Co. Dublin",311266,Grant Permissions with Conditions,Demolition of cottage construction of four-storey residential apartment block comprising 4  apartments.,01/09/2021,17/01/2023,No,No,"Kevin O'Donoghue
								(Applicant); Kevin O'Donoghue
								(1st Party Appellant)
															(Active)",53.45286069028098,-6.155164415646299
Planning Appeal,"Site adjacent and to the north of 72 Beach Road and bounding Cranfield Place, Sandymount, Dubli...",311313,Grant permission with revised conditions,Demolition of workshop and construction of a terrace of 3 dwellings and all ancillary site works.,07/09/2021,07/02/2023,No,No,"Hickory Property Developments Ltd
								(Applicant); Anne Marie O'Connor
								(3rd Party Appellant)
															(Active); Tom Shaer
								(3rd Party Appellant)
															(Active); Tom Shaer
								(3rd Party Appellant)",,
Planning Appeal,"63, Highfield Road, Rathgar, Dublin 6, D06 T9D0",311340,Grant Permissions with Conditions,PROTECTED STRUCTURE: Planning permission for modifications to a previous grant of permission Reg. Ref. 2649/20 (for...,07/09/2021,23/01/2023,No,No,"Enda Woods
								(Applicant); Enda Woods
								(1st Party Appellant)
															(Active)",53.31285143606302,-6.268724721332157
Planning Appeal,"Unit 3, Block K, The River Centre, Rathborne Place, Dublin 15",311424,Grant permission with revised conditions,"Change of use from retail to coffee shop at ground floor, and 2 duplex apartments with bin and bike store. Associat...",17/09/2021,31/01/2023,No,No,"Wenqin Chen
								(Applicant); Brian and Patricia O'Higgins and Others
								(3rd Party Appellant)
															(Active)",53.4151863,-6.381305384820345
Planning Appeal,"Site at, The Mart, Old Bray Road & Mart Lane, Cornelscourt, Dublin 18",311428,Grant Permissions with Conditions,Demolition of buildings and construction of 2 retail units and 20 apartments with car and bicycle parking. Associat...,20/09/2021,19/04/2023,No,No,"Susannah Denardo
								(Applicant); Susanna DeNardo
								(1st Party Appellant)
															(Active)",,
Referral,"Apartment Q, Coliemore Apartments, Dalkey, Co. Dublin",311482,Is development and is exempted development,Whether the proposed alterations to site is or is not development and is or is not exempted development.,22/09/2021,17/04/2023,No,No,"Bridget Regina Walsh
								(1st party Referrer); Bridget Regina Walsh
								(1st party Referrer)
															(Active)",,
Planning Appeal,"95, Ringsend Road, Dublin, D04R893",311544,Grant permission with revised conditions,"Retention of change of use from shop to restaurant, removal of 2 shipping containers and demolition of the single s...",01/10/2021,10/02/2023,No,No,"Basil Whelan
								(Applicant); The Adjacent Residents Group
								(3rd Party Appellant)
															(Active)",53.34204244099721,-6.23557672238502
Planning Appeal,"Site at Milltown Park, Sandford Road, Dublin 6",311552,Grant permission with revised conditions,Demolition of 83.7 sq m of the 'red brick link and construction of 2.4 metre high boundary wall. Alterations to str...,04/10/2021,10/02/2023,No,No,"Sandford Living Limited
								(Applicant); Cherryfield Avenue Upper Residents Association
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"Milverton and Townparks, Skerries, Co. Dublin",311566,Refuse Permission,Construction of petrol station and 4 no. two storey buildings incorporating 18 industrial units. A Natura Impact St...,05/10/2021,31/03/2023,No,Yes,"Sneem Properties Ltd
								(Applicant); Sneem Properties Ltd
								(1st Party Appellant)
															(Active)",,
Planning Appeal,"Lands adjacent to  31 Jamestown Road, Finglas, DUBLIN 11. D11 CY94",311584,Refuse Permission,Construction of: 23 units in 2 apartment buildings and all ancillary works.,06/10/2021,30/03/2023,No,No,"Real Estate Acquisitions and Sales Limited
								(Applicant); Real Estate Acquisitions and Sales Limited
								(1st Party Appellant)
															(Active); Robert and Debi Millar",,
Planning Appeal,"Peter Place, Dublin 2",311586,Grant permission with revised conditions,Construction of a 5 storey above ground floor residential building containing 19 apartments and all associated site...,07/10/2021,04/05/2023,No,No,"Berwick Properties Ltd
								(Applicant); Alan Phillips
								(3rd Party Appellant)
															(Active); Patrick and Sheila O'Shea
								(3rd Party Appellant)
															(Active)",53.331935356225095,-6.259137908483975
Planning Appeal,"Stokes Place, St. Stephen's Green South and Harcourt Street, Dublin 2",311618,Grant permission with conditions,PROTECTED STRUCTURE:  Planning permission with a life of 7 years comprises office redevelopment including:  a 4 to ...,11/10/2021,20/01/2023,No,No,"KW Investments Funds ICAV
								(Applicant); Olive English
								(3rd Party Appellant)
															(Active); Padamul Limited c/o Maurice McCarron
								(3rd Party Appellant)
															(Active); Davy Target Investments Limited
								(3rd Party Appellant)
															(Active); KW Investment Funds ICAV
								(1st Party Appellant)
															(Active); Olive English
								(3rd Party Appellant)
															(Withdrawn)",53.337115143711664,-6.262893096146884
Planning Appeal,"Unit 3, Loughlinstown Shopping Centre, Loughlinstown, Co Dublin, A96Y6Y1",311633,Grant Permissions with Conditions,"Development consisting of new first floor and part second floor over existing shop, to comprise 3 no. apartments - ...",11/10/2021,10/05/2023,No,No,"Craddock Retail Limited
								(Applicant); Craddock Retail Limited
								(1st Party Appellant)
															(Active)",53.3886679,-6.2541013
Planning Appeal,"Castlepark School, Castlepark Road, Dalkey, Co. Dublin",311634,Grant permission with revised conditions,"Construction of new vehicular and pedestrian gates & modifications to the existing roads, footpaths and kerbs, and ...",12/10/2021,15/03/2023,No,No,"Castlepark School
								(Applicant); Castlepark School
								(1st Party Appellant)
															(Active); Castlelands Residents Association
								(3rd Party Appellant)
															(Active); Castlelands Residents Association
								(3rd Party Appellant)",53.2791069,-6.116081299999999
Planning Appeal,"rear of no. 121 Lower Main Street, Rush, Co Dublin",311648,Grant outline permission with revised conditions,Outline permission for 4 no. dwellings,12/10/2021,10/02/2023,No,No,"Derek and Geraldine Jones
								(Applicant); Barry Drumm and Others
								(3rd Party Appellant)
															(Active)",,
Licences S89/S254(6)(A),"77 Barton Road East, Dublin 14, D14 N668",311679,Refuse appeal,Section 254 Licence for telephone mast,13/10/2021,18/04/2023,No,No,"Cignal Infrastructure Ltd
								(Applicant); Lorcan Quinn
															(Active); Lorcan Quinn
															(Invalid)",53.287286800000004,-6.257744376246642
Planning Appeal,"21, Belgrave Square South, Rathmines, Dublin 6",311702,Grant permission with conditions,"Protected Structure, demolition of shed and construction of house.",19/10/2021,27/01/2023,No,No,"Margaret Keane
								(Applicant); Patrick and Regina Whelan
								(3rd Party Appellant)
															(Active); Margaret Keane
								(1st Party Appellant)
															(Active); Margaret Keane
								(1st Party Appellant)",53.32187325285881,-6.260053137968023
Planning Appeal,"Holy Cross Church, Holy Cross College, Clonliffe Road, Dublin 3.",311748,Grant permission with revised conditions,PROTECTED STRUCTURE: removal of artefacts from Holy Cross Church to facilitate their reinstatment in appropriate lo...,22/10/2021,24/01/2023,No,No,"St. Laurence O'Toole Diocesan Trust
								(Applicant); Fionula Sherwin
								(3rd Party Appellant)
															(Active); Fionuala Sherwin
								(3rd Party Appellant)
															(Active)",53.361712566711475,-6.24571530284134
Planning Appeal,"Lands south of Stocking Avenue, Woodtown, Dublin 16",311763,Grant permission with revised conditions,"Modifications to the permitted retail unit (part-constructed), as permitted under Reg. Ref. SD19A/0345, Reg. Ref. S...",26/10/2021,09/02/2023,No,No,"Ardstone Homes Limited
								(Applicant); Angela O Donoghue on behalf of Ballyboden Tidy Towns
								(3rd Party Appellant)
															(Active)",,
Planning Appeal,"24 & 25 Frederick Street South, Dublin 2",311780,Refuse Permission,"Protected Structure: Change of use to Hotel to include modification, demolition and construction of extension and a...",26/10/2021,12/04/2023,No,No,"24 South Frederick St Propco Limited
								(Applicant); 24 South Frederick St Propco Limited
								(1st Party Appellant)
															(Active)",53.34220965187853,-6.25651640375839
